비트코인 고가변동률,이더리움 고가변동률,비트코인캐시 고가변동률,이오스 고가변동률,트론 고가변동률,라이트코인 고가변동률
-3.0483858,-2.9037811,-5.355539228,-2.19535667,-2.583979328,-4.152263901
6.8821207,-0.9766546,9.163825947,-1.525157698,-0.508697079,4.56625953
-1.0444896,3.923502,-1.3321902,7.480026737,5.42340628,-0.849493085
2.8185663,1.5414316,1.911013532,1.34516129,-1.387506753,1.349083315
4.6439164,7.8254293,2.623290033,0.944317812,4.95986153,7.015739827
3.7205642,12.3826683,-2.315501056,-6.260492659,-3.562897516,6.829150402
0.9819991,-0.260862,6.812838843,6.695977854,0.112366025,1.228408333
-1.6397057,-1.831012,-0.660105331,-0.772362978,3.368377163,-0.983630625
-9.4046075,-2.1228599,-3.526680001,6.762351642,-23.63483363,-6.316404773
14.0724694,5.6461519,4.943543717,3.762574732,46.79821047,7.079476587
3.8266545,-0.9327339,-3.129455208,6.30208928,1.566632757,0.661932576
-1.1310025,-0.4085809,-2.426398486,-1.687369051,-1.519452329,-3.434355003
-5.5562728,-6.5600673,-5.70285788,-3.369486623,-8.146989356,-5.353368381
5.5078281,5.4849785,3.669438438,-0.23084692,6.358475793,3.497405693
-1.2158582,9.93591,1.056591872,-0.241085243,4.109775151,-0.585529067
-1.1229643,-0.0942766,-1.397249928,3.918782485,1.738138844,1.163528665
-4.9728724,-8.2557896,-9.81448834,-3.885135135,-5.270221611,-5.597827172
-2.18033,-1.3628996,-3.700273951,-1.431203061,-2.014305417,-3.786563847
-3.7984189,-2.1469021,-6.213360353,-3.487417943,-3.578276737,-5.974634452
1.0262629,14.0537967,7.441679627,3.171187696,0.294674152,7.202251833
1.7268412,-0.6863618,3.81223386,1.123635585,4.862737445,5.408716008
-2.9800932,-1.6972392,-3.819949921,-2.669860778,-1.726121979,-3.677289949
-4.490243,2.7696178,-3.887842098,-1.7900982,-0.382116928,-1.96824336
-0.8471001,0.7709463,-0.519644415,2.667506826,-0.14308881,-0.791141258
6.0630855,9.8584598,7.707837768,2.390766694,2.399713467,5.688624772
3.1856323,-1.2643688,-1.896301526,0.507961669,1.219431811,1.153161995
-4.2350041,-8.5985843,-15.3176791,-9.512322337,-7.465690759,-13.96732885
-7.6040075,-6.7271028,-4.244120406,-21.60490672,-10.62472743,-8.14505227
-0.00265935,3.5513732,6.928858056,4.746098455,3.372686033,3.903277074
-1.33153,2.4129087,29.51047103,14.96937802,13.63665471,-1.733856111
3.9186037,-1.2224027,-6.125191218,-5.740891158,-6.204576851,0.446307742
9.2219262,6.2794232,5.627006136,-0.084055535,7.868735625,6.718815395
7.3227429,7.0009544,7.7044284,16.9684025,-0.844789927,4.364864532
2.462821,-2.3060254,-8.28875852,-5.419098313,-3.13627878,-6.379841613
-3.3617314,14.8519073,6.873818634,9.732582688,7.086928997,5.612598693
4.5809199,28.1012626,19.34525447,6.665665816,7.515672577,16.8877892
12.1726392,5.1137577,2.385713883,-2.427948878,2.234023073,5.023185657
1.1205237,-0.8170779,-1.689142414,2.831858407,0.976295255,2.745895351
1.1025111,-0.2615208,-1.545801527,-0.580307001,-2.765192377,-1.997052543
5.7997788,2.3439718,-0.024530513,-4.350940018,-7.971805818,1.595789377
-0.1974866,-1.0817533,-2.624873932,-3.440525588,-0.415224913,-4.593688507
-3.2277515,4.5285551,2.880703383,0.833304278,-2.264236022,-1.576667049
5.7194513,9.6725734,11.02588977,6.399317406,8.498741963,3.168894217
8.2614644,2.9121313,1.454802694,-1.663505034,-2.904451683,5.140874112
4.1843784,3.0865804,8.735493796,1.914711678,6.259013556,14.42422408
-1.1635783,-3.6341697,-8.405575126,-7.694155599,-4.431121218,-4.128718365
1.0001931,0.1003969,0.538959039,-1.300680825,-1.853229625,2.283045224
-1.1472125,-1.6052603,-14.54813411,-9.924945082,-7.248831592,-3.374388392
-0.737205,-1.9923151,3.26946596,-1.555835886,-2.920219245,-3.744183969
0.7209494,-1.2695283,13.1283628,6.769714267,2.689180738,-0.71990584
3.5848716,0.7948695,0.693476982,-0.351516314,1.814708691,10.002217
-1.959727,-1.6901492,-2.531683766,-3.778980383,-3.270509978,2.627459546
10.2795315,5.8760851,5.464150463,4.484996466,3.348185869,17.84806461
10.0683667,6.9031945,5.08661628,7.316232244,6.52652992,9.852135493
1.0844339,0.9401261,6.712822526,1.352343013,0.927320011,2.304641828
-0.2942753,-0.5749542,-0.842209562,-1.29686476,-1.476636774,-1.686298675
2.4682883,3.7029934,4.775499611,4.08544247,3.114788292,8.80794275
3.5427022,2.3755979,1.071763163,1.35725202,2.046897726,3.317125158
-1.4203474,-2.6548058,-0.924482067,-2.327895653,-2.135120122,-3.292923307
-0.4619619,-0.4118075,-0.608878556,-0.744320587,-0.149062294,-0.641304626
-3.3734952,-2.831299,-4.889091675,-4.22972973,-4.776523404,-7.885862516
-0.7001431,-1.3729977,-2.01863888,-1.549923502,-2.185915857,-2.277990943
0.0386257,-0.6327237,-0.946963246,-0.945540803,-0.0613101,1.916505196
1.2747292,1.7042884,1.269447032,0.773572377,1.244731942,1.120993694
-1.8269797,-3.6926454,-5.591741028,-4.292841028,-3.484265624,-6.230095985
-0.3424063,-0.4002572,3.321107709,0.434019467,-0.682700739,-1.5878582
1.3503659,2.9387431,-0.228287508,1.618238423,1.957278329,0.746309851
-2.8239871,-4.9271623,-7.055042436,-7.651762451,-8.426654191,-2.478440155
0.3338174,3.1965842,-0.524567775,1.820454961,3.488864682,4.927755623
8.1526807,6.8427808,11.44280328,5.879314241,5.899317461,9.22203714
2.5841427,5.2158996,1.513448978,0.879392893,-0.070447341,8.230282311
2.4303307,3.3049905,2.038768856,1.360139976,3.66473029,1.869184306
-7.6454493,-8.0872669,-13.15887734,-14.09732857,-11.05435649,-11.64479061
-3.0369431,-4.7140994,-11.58977745,-9.038848475,-9.429068057,-8.311842888
0.3610313,-2.584848,-2.145472165,3.139466823,-4.37039689,-3.420895777
3.5176576,1.8629266,13.56771629,10.68052652,22.91444018,3.422388076
0.0282644,5.2293103,5.004654746,2.977833035,3.282147843,3.291717833
-1.1309712,5.0477243,1.39969402,1.439601341,0.410731167,-0.487672411
0.823986,7.6150938,18.23499981,15.10055233,15.47032032,3.345494516
3.550589,6.7651649,4.782836633,6.128583775,-1.738358546,2.803356334
-1.6251401,-2.9270362,-3.419668939,-2.495053858,-0.727005691,7.94824879
3.4782073,2.1564622,0.089661625,-0.745481654,1.426336958,0.129935942
5.7148104,3.9959654,1.923076923,5.696275512,2.99171525,3.146904695
4.4720605,0.6566868,-3.263250951,2.159657596,-0.332581521,15.77420206
-1.041756,-3.0188126,-0.298907837,-2.380404784,1.647561686,-2.83297651
-0.8856326,-0.0920926,0.038336209,-1.170587567,-0.011655917,-0.51298974
0.8040287,1.7484081,-1.316536148,5.486732737,1.394579263,9.75240353
2.4370217,-1.3674172,0.858516484,-1.344372166,-0.188738597,0.327024081
3.1593309,4.7642101,-1.629006831,0.344172798,-0.070726916,1.568502458
-2.2396268,-0.8898388,-2.727372303,-1.184472851,-0.895638629,-3.649646834
1.0946876,-0.3434111,-1.211902615,-0.191182208,-0.163284348,-0.198412698
-0.6734627,-1.6649568,0.166190975,-2.373062126,-4.201117318,-4.275721499
-1.2585239,2.2040674,6.740966411,3.16736747,2.122318576,1.731098509
1.3678613,9.0131924,3.052100306,2.332408413,4.632282713,6.68688934
10.542321,2.9517038,3.059469201,4.822324327,2.429479863,8.050993246
1.3149281,4.5951074,-5.565654612,-2.850239568,-0.288582693,1.525931646
1.6314252,-3.4798535,-4.68202765,-4.039768932,-5.569202426,-4.262958726
-0.4399006,1.6913319,0.351461339,0.208710719,-0.776906086,1.05294986
-1.2505865,0.8400802,1.777242262,-0.765924189,-2.284906222,-0.400361388
2.9082741,0.5178836,-1.702568658,-3.320865919,0.753627536,1.197540381
0.2045455,-0.3432232,-0.412827129,-1.131779471,-2.167852689,-1.344157337
-1.5283323,-3.619211,-3.338440161,-2.622485724,-0.0842954,-6.6487254
0.5035444,-0.4269855,4.751063671,1.969438469,0.534266765,2.478723584
4.1769655,-0.1364489,-1.839097304,-1.924266123,-1.233669348,-0.382605764
-0.8662226,-1.5968542,-1.02614308,0.409072647,0.940381295,-1.157850895
1.3964974,0.1897761,-0.662752584,2.531550762,-0.216259805,0.696191914
